
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2020

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
 1-09-2020;  2; 4;15;19;35;46;44;5;(3/3);'22011';(4/2);
31-08-2020; 20;24;27;29;38;42;34;7;(4/2);'00411';(2/4);
29-08-2020; 14;30;34;35;41;47;45;5;(3/3);'01032';(1/5);
28-08-2020;  7;13;17;20;35;40; 8;8;(2/4);'12111';(4/2);
27-08-2020;  2; 4;10;15;25;44;47;9;(4/2);'22101';(5/1);
26-08-2020; 10;13;21;39;41;49;35;8;(1/5);'02112';(3/3);
25-08-2020;  6;11;22;30;41;48; 3;0;(4/2);'11112';(3/3);
24-08-2020; 11;18;32;33;36;37; 9;7;(3/3);'02040';(2/4);
22-08-2020;  1;10;12;15;24;42; 8;1;(4/2);'13101';(5/1);
21-08-2020;  3; 5;12;21;25;37;10;5;(1/5);'21210';(5/1);
20-08-2020; 17;19;35;36;38;42;37;3;(3/3);'02031';(2/4);
19-08-2020;  1;12;37;39;40;44;18;2;(3/3);'11022';(2/4);
18-08-2020; 14;24;26;28;44;47; 8;9;(5/1);'01302';(2/4);
17-08-2020;  3;11;20;21;30;38;36;9;(3/3);'11220';(4/2);
15-08-2020;  6;14;17;18;20;46;10;5;(5/1);'13101';(5/1);
14-08-2020;  1; 3;11;14;30;37; 7;1;(2/4);'22020';(4/2);
13-08-2020;  7;10;15;26;34;35;37;9;(3/3);'12120';(3/3);
12-08-2020;  7; 9;13;21;27;43;22;0;(0/6);'21201';(4/2);
11-08-2020;  4;10;14;17;20;39;38;9;(4/2);'13110';(5/1);
10-08-2020;  3;26;29;34;42;49;27;4;(3/3);'10212';(1/5);
 8-08-2020;  6;13;26;37;39;46; 7;8;(3/3);'11121';(2/4);
 7-08-2020;  3;19;22;36;42;47;34;5;(3/3);'11112';(3/3);
 6-08-2020; 15;16;29;39;41;44;46;1;(2/4);'02112';(2/4);
 5-08-2020;  8;20;24;27;38;39; 4;7;(4/2);'10320';(3/3);
 4-08-2020;  5;11;13;17;36;47;34;0;(1/5);'13011';(4/2);
 3-08-2020; 11;28;36;37;45;48;17;7;(3/3);'01122';(1/5);
 1-08-2020;  4; 8;29;34;43;44;49;3;(4/2);'20112';(2/4);
31-07-2020;  6;14;17;27;38;43;10;2;(3/3);'12111';(3/3);
30-07-2020;  7;10;13;16;37;48;41;7;(3/3);'13011';(4/2);
29-07-2020;  1; 3; 7;23;27;30;47;2;(1/5);'30210';(4/2);
